Timestamp,УКК1_объем,УКК1_ОЧИ,УКК1_ОЧМ,УКК1_ароматика,УКК1_олефины,ЛФ_объем,ЛФ_ОЧИ,ЛФ_ОЧМ,ЛФ_ароматика,ЛФ_олефины,35/5_объем,35/5_ОЧИ,35/5_ОЧМ,35/5_ароматика,35/5_олефины,УПБКА1_объем,УПБКА1_ОЧИ,УПБКА1_ОЧМ,УПБКА1_ароматика,УПБКА1_олефины,УПБКА2_объем,УПБКА2_ОЧИ,УПБКА2_ОЧМ,УПБКА2_ароматика,УПБКА2_олефины,БГБ_объем,БГБ_ОЧИ,БГБ_ОЧМ,БГБ_аромат,БГБ_олефы,ЛББГБ_объем,ЛББГБ_ОЧИ,ЛББГБ_ОЧМ,ЛББГБ_ароматика,ЛББГБ_олефины,ЛЧ_объем,ЛЧ_ОЧИ,ЛЧ_ОЧМ,ЛЧ_ароматика,ЛЧ_олефины,НК_объем,НК_ОЧИ,НК_ОЧМ,НК_empty_1,НК_empty_2,Премиум_1448_объем,Премиум_1415_объем,95_объем_сумма,95_ОЧИ,95_ОЧМ,95_ароматика,95_олефины,вход,отклонение
10-01-17,56.10053791469998,93.46942901611328,82.35401153564453,26.11870765686035,22.232919692993164,59.22,99.92219543457033,89.22200775146483,65.9,1.1010444164276123,11.9,80.724609375,78.86732482910156,,,23.89,97.17366790771484,98.15310668945312,,,15.102571031782364,96.93172454833984,95.23428344726561,,,27.395009189181856,90.62071990966798,80.6121368408203,36.457832336425774,10.56105613708496,24.22339719136556,96.4,83.0,,,8.208904756440056,95.4,85.4,,,0.0157909489236772,69.0,60.3,,,12.34,208.23,220.0,95.44,85.83,30.003349304199215,12.534836769104004,226.06,-5.49
10.1.17 0:30,103.78464550442166,93.48108673095705,82.3526611328125,26.04291343688965,22.275821685791016,102.06,99.97685241699219,89.25980377197266,66.1,1.0418965816497805,24.9,80.71794891357422,78.84391784667967,,,31.51,97.20401763916016,98.2553939819336,,,9.992820347679986,96.95811462402345,95.09676361083984,,,34.92406175401476,90.64054107666016,80.64903259277344,36.528594970703125,10.737862586975098,29.9700261010064,96.4,83.0,,,2.9965420855416194,95.4,85.4,,,0.014928543050256,69.0,60.3,,,144.22,200.13,344.0,95.17,85.26,33.031253814697266,12.975963592529297,340.18,4.17
10.1.17 0:59,104.14567345513238,93.47351837158205,82.35132598876953,26.188438415527344,22.221580505371094,102.09,99.89180755615233,89.18875122070312,66.2,0.9315013885498046,25.0,80.75779724121094,78.84593200683594,,,32.79,97.22373199462889,98.33689880371091,,,10.030591848161484,97.016845703125,95.0016403198242,,,34.94793273078071,90.61174011230467,80.6075439453125,36.427127838134766,10.540851593017578,29.992048305935327,96.4,83.0,,,3.0016360494825576,95.4,85.4,,,0.0152556624573965,69.0,60.3,,,150.18,199.47,349.0,95.1,85.23,32.51886367797852,12.93272304534912,341.99,7.66
10.1.17 1:30,103.22535603841146,93.50130462646483,82.37965393066406,26.06182861328125,22.23008728027344,102.13,99.91058349609376,89.19849395751953,66.2,0.8118656277656555,25.1,80.7464599609375,78.855224609375,,,33.93,97.23538970947264,98.30329895019533,,,9.97333400514391,96.98764038085936,94.9362106323242,,,35.00965927971734,90.60245513916016,80.60883331298828,36.19656753540039,10.791131973266602,29.976391580369736,96.4,83.0,,,3.0903441641065807,95.4,85.4,,,0.0148988049166897,69.0,60.3,,,149.77,200.64,350.0,95.1,85.24,32.39410400390625,12.75074863433838,342.47,7.93
10.1.17 2:00,105.11368611653646,93.48564147949219,82.36492919921875,26.16033935546875,22.178661346435547,104.92,99.92366027832033,89.18423461914062,66.2,0.8828639984130859,25.0,80.71728515625,78.84230804443358,,,32.12,97.21469116210936,98.29927825927734,,,10.005515437655978,97.0755844116211,94.85545349121091,,,34.91522064208984,90.56159973144531,80.60692596435547,36.2761116027832,11.015103340148926,30.012656211853027,96.4,83.0,,,5.01929447915819,95.4,85.4,,,0.0162370208650827,69.0,60.3,,,149.73,206.02,355.0,95.07,85.17,32.83969497680664,12.630731582641602,347.13,8.61
10.1.17 2:29,104.76236216227214,93.49137878417967,82.37439727783203,26.113216400146484,22.164798736572266,104.93,99.91583251953124,89.17340850830078,66.3,0.9366548061370848,25.0,80.74326324462889,78.86466979980467,,,30.83,97.18406677246092,98.2753677368164,,,9.977617867787679,97.02952575683594,94.95008850097656,,,35.115028550889754,90.66274261474608,80.61544799804686,36.2869987487793,10.934148788452148,30.00445789761013,96.4,83.0,,,5.011806620491876,95.4,85.4,,,0.0159396395604643,69.0,60.3,,,149.95,204.68,354.0,95.08,85.25,32.991233825683594,12.849501609802246,345.61,9.02
10.1.17 3:00,105.38043772379557,93.49813842773438,82.35333251953125,26.10935401916504,22.19346618652344,104.98,99.9101791381836,89.17156982421875,66.3,0.69424968957901,25.0,80.7174301147461,78.8468017578125,,,31.22,97.13317108154298,98.27864837646483,,,10.007291687859428,97.06185913085936,94.88365936279298,,,35.004113388061526,90.63237762451173,80.64645385742188,36.561222076416016,10.786754608154297,30.021207724677197,96.4,83.0,,,4.993920448091295,95.4,85.4,,,0.0155233056594928,69.0,60.3,,,149.71,206.03,355.0,95.05,85.21,32.85503387451172,12.536135673522947,346.64,9.1
10.1.17 3:30,104.7543216281467,93.49553680419922,82.36642456054686,25.98160743713379,22.24113273620605,104.94,99.9232177734375,89.2039794921875,66.1,0.946495532989502,25.0,80.70865631103516,78.85071563720702,,,30.96,97.17814636230467,98.24794006347656,,,9.987334982554119,97.09551239013673,94.8978271484375,,,35.03859363132053,90.68341827392578,80.65493774414062,36.54817962646485,10.679343223571776,29.940577210320367,96.4,83.0,,,5.005245372984144,95.4,85.4,,,0.015434091258794,69.0,60.3,,,149.47,205.03,354.0,95.06,85.18,32.95278549194336,12.6802978515625,345.67,8.83
10.1.17 3:59,105.08586485120983,93.4654998779297,82.36734008789062,26.11778259277344,22.20846939086914,104.98,99.99887084960936,89.20870971679686,66.3,0.9417619109153748,25.0,80.71305847167967,78.8445816040039,,,31.11,97.18813323974608,98.25949859619139,,,10.009172418382432,97.12528228759763,94.9410858154297,,,34.935393778483075,90.62107849121091,80.62621307373048,36.4246940612793,10.486956596374512,30.04740939670139,96.4,83.0,,,4.997693755891588,95.4,85.4,,,0.0162370207719504,69.0,60.3,,,150.41,205.38,355.0,95.09,85.2,33.01591491699219,12.622980117797852,346.22,9.57
10.1.17 4:30,104.72871839735242,93.4779052734375,82.37452697753906,26.121774673461918,22.16840934753418,105.0,99.95096588134764,89.21737670898438,66.4,0.6336645483970642,25.1,80.6859359741211,78.83866119384764,,,31.4,97.20467376708984,98.2282028198242,,,9.962571907043456,97.1365966796875,94.96288299560547,,,35.017214160495335,90.50634765625,80.58860778808595,36.35774230957031,10.784460067749023,29.994973988003203,96.4,83.0,,,4.996522193484836,95.4,85.4,,,0.016147806495428,69.0,60.3,,,149.89,205.98,355.0,95.08,85.2,32.99576950073242,12.6496000289917,346.17,9.7
