,1,2,3,4,5,6,7,8,9,10,11.0,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
,1    УКК1,,,,,2     ЛФ,,,,,3     35/5,,,,,4     УПБКА1,,,,,5     УПБКА2,,,,,6      БГБ,,,,,7   ЛББГБ,,,,,8     ЛЧ,,,,,9     НК,,,,,Премиум,Премиум,95,,,,
Timestamp,объем,ОЧИ,ОЧМ,ароматика ,олефины,объем,ОЧИ,ОЧМ,ароматика ,олефины,объем,ОЧИ,ОЧМ,ароматика ,олефины,объем,ОЧИ,ОЧМ,ароматика ,олефины,объем,ОЧИ,ОЧМ,ароматика ,олефины,объем,ОЧИ,ОЧМ,аромат,олефы,объем,ОЧИ,ОЧМ,ароматика ,олефины,объем,ОЧИ,ОЧМ,ароматика ,олефины,объем,ОЧИ,ОЧМ,,,объем 1448,объем 1415,объем сумма,ОЧИ,ОЧМ,ароматика ,олефины,вход,отклонение 
10-01-17,56.100537914699977,93.469429016113281,82.354011535644531,26.118707656860352,22.232919692993164,59.22,99.922195434570312,89.222007751464844,65.9,1.1010444164276123,11.9,80.724609375,78.867324829101562,,,23.89,97.173667907714844,98.153106689453125,,,15.102571031782363,96.931724548339844,95.234283447265625,,,27.395009189181856,90.620719909667969,80.612136840820312,36.457832336425781,10.561056137084961,24.22339719136556,96.400000000000006,83.0,,,8.2089047564400559,95.400000000000006,85.400000000000006,,,0.015790948923677207,69,60.299999999999997,,,12.34,208.23,220,95.44,85.83,30.003349304199219,12.534836769104004,226.06,-5.49
10.1.17 0:30,103.78464550442166,93.481086730957031,82.3526611328125,26.042913436889648,22.275821685791016,102.06,99.976852416992188,89.259803771972656,66.1,1.0418965816497803,24.9,80.717948913574219,78.843917846679688,,,31.51,97.204017639160156,98.255393981933594,,,9.9928203476799862,96.958114624023438,95.096763610839844,,,34.924061754014758,90.640541076660156,80.649032592773438,36.528594970703125,10.737862586975098,29.9700261010064,96.400000000000006,83.0,,,2.9965420855416194,95.400000000000006,85.400000000000006,,,0.01492854305025604,69,60.299999999999997,,,144.22,200.13,344,95.17,85.26,33.031253814697266,12.975963592529297,340.18,4.17
10.1.17 0:59,104.14567345513238,93.473518371582031,82.351325988769531,26.188438415527344,22.221580505371094,102.09,99.891807556152344,89.188751220703125,66.2,0.93150138854980469,25.0,80.757797241210938,78.845932006835938,,,32.79,97.223731994628906,98.336898803710938,,,10.030591848161485,97.016845703125,95.001640319824219,,,34.947932730780707,90.611740112304688,80.6075439453125,36.427127838134766,10.540851593017578,29.992048305935331,96.400000000000006,83.0,,,3.0016360494825576,95.400000000000006,85.400000000000006,,,0.015255662457396587,69,60.299999999999997,,,150.18,199.47,349,95.10,85.23,32.518863677978516,12.932723045349121,341.99,7.66
10.1.17 1:30,103.22535603841146,93.501304626464844,82.379653930664062,26.06182861328125,22.230087280273438,102.13,99.91058349609375,89.198493957519531,66.2,0.81186562776565552,25.1,80.7464599609375,78.855224609375,,,33.93,97.235389709472656,98.303298950195312,,,9.9733340051439079,96.987640380859375,94.936210632324219,,,35.00965927971734,90.602455139160156,80.608833312988281,36.196567535400391,10.791131973266602,29.976391580369736,96.400000000000006,83.0,,,3.0903441641065807,95.400000000000006,85.400000000000006,,,0.014898804916689793,69,60.299999999999997,,,149.77,200.64,350,95.10,85.24,32.39410400390625,12.750748634338379,342.47,7.93
10.1.17 2:00,105.11368611653646,93.485641479492188,82.36492919921875,26.16033935546875,22.178661346435547,104.92,99.923660278320312,89.184234619140625,66.2,0.88286399841308594,25.0,80.71728515625,78.842308044433594,,,32.12,97.214691162109375,98.299278259277344,,,10.005515437655978,97.075584411621094,94.855453491210938,,,34.915220642089842,90.561599731445312,80.606925964355469,36.276111602783203,11.015103340148926,30.012656211853027,96.400000000000006,83.0,,,5.0192944791581899,95.400000000000006,85.400000000000006,,,0.016237020865082739,69,60.299999999999997,,,149.73,206.02,355,95.07,85.17,32.839694976806641,12.630731582641602,347.13,8.61
10.1.17 2:29,104.76236216227214,93.491378784179688,82.374397277832031,26.113216400146484,22.164798736572266,104.93,99.91583251953125,89.173408508300781,66.3,0.93665480613708496,25.0,80.743263244628906,78.864669799804688,,,30.83,97.184066772460938,98.275367736816406,,,9.9776178677876786,97.029525756835938,94.950088500976562,,,35.115028550889754,90.662742614746094,80.615447998046875,36.286998748779297,10.934148788452148,30.004457897610134,96.400000000000006,83.0,,,5.0118066204918756,95.400000000000006,85.400000000000006,,,0.015939639560464354,69,60.299999999999997,,,149.95,204.68,354,95.08,85.25,32.991233825683594,12.849501609802246,345.61,9.02
10.1.17 3:00,105.38043772379557,93.498138427734375,82.35333251953125,26.109354019165039,22.193466186523438,104.98,99.910179138183594,89.17156982421875,66.3,0.69424968957901001,25.0,80.717430114746094,78.8468017578125,,,31.22,97.133171081542969,98.278648376464844,,,10.007291687859428,97.061859130859375,94.883659362792969,,,35.004113388061526,90.632377624511719,80.646453857421875,36.561222076416016,10.786754608154297,30.021207724677193,96.400000000000006,83.0,,,4.9939204480912949,95.400000000000006,85.400000000000006,,,0.01552330565949281,69,60.299999999999997,,,149.71,206.03,355,95.05,85.21,32.855033874511719,12.536135673522949,346.64,9.10
10.1.17 3:30,104.7543216281467,93.495536804199219,82.366424560546875,25.981607437133789,22.241132736206055,104.94,99.9232177734375,89.2039794921875,66.1,0.94649553298950195,25.0,80.708656311035156,78.850715637207031,,,30.96,97.178146362304688,98.247940063476562,,,9.9873349825541187,97.095512390136719,94.8978271484375,,,35.038593631320531,90.683418273925781,80.654937744140625,36.548179626464844,10.679343223571777,29.940577210320367,96.400000000000006,83.0,,,5.0052453729841444,95.400000000000006,85.400000000000006,,,0.01543409125879407,69,60.299999999999997,,,149.47,205.03,354,95.06,85.18,32.952785491943359,12.6802978515625,345.67,8.83
10.1.17 3:59,105.08586485120985,93.465499877929688,82.367340087890625,26.117782592773438,22.208469390869141,104.98,99.998870849609375,89.208709716796875,66.3,0.94176191091537476,25.0,80.713058471679688,78.844581604003906,,,31.11,97.188133239746094,98.259498596191406,,,10.009172418382432,97.125282287597656,94.941085815429688,,,34.935393778483075,90.621078491210938,80.626213073730469,36.424694061279297,10.486956596374512,30.04740939670139,96.400000000000006,83.0,,,4.9976937558915884,95.400000000000006,85.400000000000006,,,0.016237020771950484,69,60.299999999999997,,,150.41,205.38,355,95.09,85.20,33.015914916992188,12.622980117797852,346.22,9.57
10.1.17 4:30,104.72871839735242,93.4779052734375,82.374526977539062,26.121774673461914,22.16840934753418,105.00,99.950965881347656,89.217376708984375,66.4,0.63366454839706421,25.1,80.685935974121094,78.838661193847656,,,31.40,97.204673767089844,98.228202819824219,,,9.9625719070434577,97.1365966796875,94.962882995605469,,,35.017214160495335,90.50634765625,80.588607788085938,36.357742309570312,10.784460067749023,29.994973988003203,96.400000000000006,83.0,,,4.9965221934848358,95.400000000000006,85.400000000000006,,,0.016147806495428085,69,60.299999999999997,,,149.89,205.98,355,95.08,85.20,32.995769500732422,12.649600028991699,346.17,9.70
